"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 19:59:06 GMT 2024","Mon Sep 09 19:59:09 GMT 2024","3635","tests","test_all","Test","","","test_register_with_existing_email",""
"passed","Mon Sep 09 19:58:59 GMT 2024","Mon Sep 09 19:59:03 GMT 2024","4224","tests","test_all","Test","","","test_logout",""
"passed","Mon Sep 09 19:58:42 GMT 2024","Mon Sep 09 19:58:46 GMT 2024","4052","tests","test_all","Test","","","test_register_user",""
"passed","Mon Sep 09 19:59:25 GMT 2024","Mon Sep 09 19:59:27 GMT 2024","2024","tests","test_all","Test","","","test_subscription_in_home_page",""
"broken","Mon Sep 09 19:59:41 GMT 2024","Mon Sep 09 20:00:12 GMT 2024","31294","tests","test_all","Test","","","test_register_while_checkout",""
"passed","Mon Sep 09 19:59:18 GMT 2024","Mon Sep 09 19:59:19 GMT 2024","1108","tests","test_all","Test","","","test_all_products_and_product_detail_page",""
"passed","Mon Sep 09 19:58:56 GMT 2024","Mon Sep 09 19:58:56 GMT 2024","757","tests","test_all","Test","","","test_invalid_login",""
"passed","Mon Sep 09 20:00:15 GMT 2024","Mon Sep 09 20:00:20 GMT 2024","4545","tests","test_all","Test","","","test_register_before_checkout",""
"passed","Mon Sep 09 19:59:30 GMT 2024","Mon Sep 09 19:59:30 GMT 2024","671","tests","test_all","Test","","","test_subscription_in_cart_page",""
"passed","Mon Sep 09 19:59:37 GMT 2024","Mon Sep 09 19:59:39 GMT 2024","1140","tests","test_all","Test","","","test_product_quantity_in_cart",""
"passed","Mon Sep 09 19:58:49 GMT 2024","Mon Sep 09 19:58:53 GMT 2024","4015","tests","test_all","Test","","","test_valid_login",""
"passed","Mon Sep 09 19:59:15 GMT 2024","Mon Sep 09 19:59:16 GMT 2024","603","tests","test_all","Test","","","test_test_cases_page",""
"passed","Mon Sep 09 19:59:12 GMT 2024","Mon Sep 09 19:59:13 GMT 2024","796","tests","test_all","Test","","","test_contact_us_form",""
"passed","Mon Sep 09 19:59:33 GMT 2024","Mon Sep 09 19:59:35 GMT 2024","2096","tests","test_all","Test","","","test_adding_products_in_cart",""
"passed","Mon Sep 09 19:59:22 GMT 2024","Mon Sep 09 19:59:23 GMT 2024","963","tests","test_all","Test","","","test_search_product",""
